index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110396,2019-11-06,1,11,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,C004,U Rispoli,K H Ting,122,1,CP-/H-/B1,47,-2,1056,-6,,5,2,9/10/4/6/2/9,1,2-2-1,2,2,1,0,0,0,2385,2217,2323,0,0,0,6925,2.25,1.5,2.25,0,0,0,36,"HK$ 967,000",2-1/4,3.9,3.0,1.8,1.4,1,1
110397,2019-11-06,1,12,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,C110,K Teetan,P F Yiu,116,10,B-,41,-2,994,+11,,4,+2,9/3/6/10/14/7,10,9-11-10,9,11,10,0,0,0,2453,2269,2348,0,0,0,7070,6.5,9.0,9,0,0,0,126,"HK$ 967,000",9,15.0,15.0,4.7,4.2,0,0
110398,2019-11-06,2,1,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,B239,Z Purton,A S Cruz,133,9,B/TT,40,+1,980,-19,1.39.76,4,+1,2/10/12/11/5/6,4,3-4-3-4,3,4,3,4,0,0,2782,2351,2475,2453,0,0,10061,1.5,2.75,2.5,1.75,0,0,14,"HK$ 725,000",1-3/4,3.5,3.0,1.8,1.5,0,0
110399,2019-11-06,2,2,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,V400,J Moreira,A T Millard,133,11,B,40,0,1155,-8,1.40.31,6,*1,5/2/5/3/5/3,5,11-11-9-5,11,11,9,5,0,0,2906,2323,2435,2399,0,0,10063,9.25,8.75,6,2,0,0,25,"HK$ 725,000",2,7.4,8.3,2.3,2.4,0,0
110400,2019-11-06,2,3,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,V207,M F Poon,L Ho,131,1,H/SR,38,+5,1177,+12,1.40.36,7,+1,1/12/4/9/11/7,3,4-3-4-3,4,3,4,3,0,0,2786,2335,2491,2436,0,0,10047,1.75,2.0,2.75,1,0,0,21,"HK$ 725,000",1,9.3,6.2,1.8,1.9,0,1
110401,2019-11-06,2,4,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,B444,M L Yeung,T P Yung,131,7,B/TT,38,-5,1082,-1,,5,*1,11/11/12/14/9,12,10-10-11-12,10,10,11,12,0,0,2890,2335,2451,2519,0,0,10195,8.25,8.5,6.75,10.25,0,0,128,"HK$ 725,000",10-1/4,79.0,99.0,17.0,30.0,0,0
110402,2019-11-06,2,5,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,C243,A Badel,R Gibson,131,4,B,38,-2,1114,-2,,4,+1,14/11/13/14/12,10,6-6-5-10,6,6,5,10,0,0,2818,2339,2475,2503,0,0,10135,3.75,4.25,4,6.5,0,0,31,"HK$ 725,000",6-1/2,33.0,47.0,8.9,12.0,0,0
110403,2019-11-06,2,6,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,T022,C Y Ho,K W Lui,130,8,B/H/XB,37,0,962,+4,1.40.71,8,*1,3/4/6/2/7/2,6,8-8-8-6,8,8,8,6,0,0,2846,2339,2467,2413,0,0,10065,5.5,6.0,5.25,2,0,0,66,"HK$ 725,000",2,5.1,7.9,1.8,2.2,0,0
110404,2019-11-06,2,7,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,B443,M Chadwick,P O'Sullivan,130,2,H-/B,37,-5,1055,+28,1.40.85,4,*1,7/13/11/12/7/13,11,5-5-6-11,5,5,6,11,0,0,2802,2355,2475,2504,0,0,10136,2.75,4.25,4,6.5,0,0,128,"HK$ 725,000",6-1/2,20.0,28.0,5.3,7.0,0,0
110405,2019-11-06,2,8,HV,TURF,GOOD,B,Class 5,1650,10032,2758,2331,2479,2464,0,0,B325,A Sanna,Y S Tsui,130,5,,37,-8,1026,0,,4,*1,11/14/14/11,9,9-9-10-9,9,9,10,9,0,0,2882,2327,2467,2438,0,0,10114,7.75,7.5,6.75,5,0,0,206,"HK$ 725,000",5,77.0,99.0,17.0,30.0,0,0
