index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110398,2019-10-09,2,1,51.20929941722318,1650,8.035602692918582,8.740016691519521,133.0,9.0,60.0,1065.0,7,10151.0,7.4,2.6,0,0,1625.4556201359471,338,26.5,3.0
110399,2019-10-09,2,2,51.20929941722318,1650,7.239214973779806,8.724207360800564,130.0,10.0,57.0,1100.0,5,10077.0,19.0,4.7,0,0,1637.392080976481,338,26.5,3.0
110400,2019-10-09,2,3,51.20929941722318,1650,8.703008637464448,7.820037989458753,130.0,3.0,57.0,1030.0,3,10003.0,4.0,1.9,0,1,1649.5051484554633,338,26.5,3.0
110401,2019-10-09,2,4,51.20929941722318,1650,8.478244441277663,8.262300941787448,122.0,5.0,49.0,1096.0,10,10210.0,99.0,22.0,0,0,1616.0626836434867,338,26.5,3.0
110402,2019-10-09,2,5,51.20929941722318,1650,7.9865049385539955,8.454466361507933,122.0,7.0,49.0,1184.0,11,10348.0,11.0,3.0,0,0,1594.5110166215693,338,26.5,3.0
110403,2019-10-09,2,6,51.20929941722318,1650,0.0,0.0,120.0,12.0,47.0,1054.0,12,10604.0,99.0,19.0,0,0,1556.0165975103735,338,26.5,3.0
110404,2019-10-09,2,7,51.20929941722318,1650,6.63200177739563,8.744647438317532,120.0,8.0,47.0,1107.0,6,10127.0,44.0,10.0,0,0,1629.307791053619,338,26.5,3.0
110405,2019-10-09,2,8,51.20929941722318,1650,8.046869510959576,6.327936783729195,119.0,4.0,46.0,1191.0,1,9976.0,3.1,1.4,1,1,1653.9695268644748,338,26.5,3.0
110406,2019-10-09,2,9,51.20929941722318,1650,0.0,8.735364401103888,119.0,1.0,46.0,1154.0,2,9986.0,5.7,1.7,0,1,1652.3132385339475,338,26.5,3.0
110407,2019-10-09,2,10,51.20929941722318,1650,0.0,8.337109129562474,117.0,11.0,44.0,1190.0,9,10194.0,99.0,29.0,0,0,1618.5991759858741,338,26.5,3.0
110408,2019-10-09,2,11,51.20929941722318,1650,8.227375506834035,8.363575702750637,115.0,6.0,42.0,1040.0,4,10017.0,7.6,1.6,0,0,1647.1997604073076,338,26.5,3.0
110409,2019-10-09,2,12,51.20929941722318,1650,8.00836557031292,8.491875383431948,114.0,2.0,41.0,1113.0,8,10187.0,55.0,11.0,0,0,1619.7113968783744,338,26.5,3.0
110410,2019-10-09,3,1,51.20929941722318,1200,0.0,8.491875383431948,133.0,4.0,60.0,1222.0,9,7078.0,5.5,1.7,0,0,1695.3941791466516,338,26.5,3.0
110411,2019-10-09,3,2,51.20929941722318,1200,0.0,8.744647438317532,130.0,12.0,57.0,1035.0,8,7076.0,99.0,21.0,0,0,1695.8733747880158,338,26.5,3.0
110412,2019-10-09,3,3,51.20929941722318,1200,8.331827004436057,4.77912349311153,130.0,7.0,57.0,1093.0,1,6998.0,4.0,1.8,1,1,1714.7756501857673,338,26.5,3.0
110413,2019-10-09,3,4,51.20929941722318,1200,8.703008637464448,8.606302366488013,128.0,8.0,55.0,1133.0,5,7031.0,8.6,3.1,0,0,1706.7273503057886,338,26.5,3.0
110414,2019-10-09,3,5,51.20929941722318,1200,7.259116128097101,0.0,127.0,3.0,54.0,1147.0,4,7029.0,5.6,1.9,0,0,1707.2129748186087,338,26.5,3.0
110415,2019-10-09,3,6,51.20929941722318,1200,8.035602692918582,8.417372856134026,125.0,2.0,52.0,1124.0,6,7038.0,42.0,10.0,0,0,1705.0298380221654,338,26.5,3.0
110416,2019-10-09,3,7,51.20929941722318,1200,8.00836557031292,8.262300941787448,125.0,9.0,52.0,1027.0,11,7103.0,71.0,15.0,0,0,1689.4270026749261,338,26.5,3.0
110417,2019-10-09,3,8,51.20929941722318,1200,7.239214973779806,8.27893600229198,123.0,5.0,50.0,1112.0,10,7082.0,45.0,9.5,0,0,1694.4365998305564,338,26.5,3.0
110418,2019-10-09,3,9,51.20929941722318,1200,7.9865049385539955,7.889084407035514,122.0,1.0,49.0,1084.0,2,7002.0,3.7,1.5,0,1,1713.796058269066,338,26.5,3.0
